text,dimension_model,dimensions,scores,delta
"I have many friends, but they are superficial.",gemini-3.0-pro,['Social'],[0.29597654938697815],0.05
"My friends are helpful, and they are there for me when I need help.",gemini-3.0-pro,['Social'],[0.2853482663631439],0.05
I have plenty of friends who will be there for me when I need help.,gemini-3.0-pro,['Social'],[0.27331656217575073],0.05
I get help when I need it.,gemini-3.0-pro,"['Emotional', 'Social']","[0.21550743281841278, 0.21325689554214478]",0.05
I have a good attitude about my life.,gemini-3.0-pro,"['Social', 'Occupational', 'Spiritual', 'Environmental']","[0.3068721890449524, 0.2972419857978821, 0.28213003277778625, 0.2783888876438141]",0.05
I have a high confidence in my own abilities.,gemini-3.0-pro,['Intellectual'],[0.3035130798816681],0.05
"I always say what I think, and people find this fact attractive.",gemini-3.0-pro,['Social'],[0.23803463578224182],0.05
"I am a compassionate, open-minded individual who feels valued.",gemini-3.0-pro,['Spiritual'],[0.46678781509399414],0.05
"I have a desire to achieve more, but sometimes find that I don't.",gemini-3.0-pro,"['Occupational', 'Intellectual']","[0.3749396800994873, 0.3445049524307251]",0.05
"I am happy with my life in general, and enjoy socializing with friends.",gemini-3.0-pro,['Social'],[0.45440685749053955],0.05
I often take a negative view of people.,gemini-3.0-pro,"['Spiritual', 'Social', 'Emotional', 'Environmental']","[0.2679821848869324, 0.25950905680656433, 0.24760475754737854, 0.2328220158815384]",0.05
I find things to be fun and rewarding.,gemini-3.0-pro,"['Intellectual', 'Occupational']","[0.4782467782497406, 0.4506266415119171]",0.05
I understand it is always a struggle to find a purpose in life.,gemini-3.0-pro,"['Spiritual', 'Emotional', 'Social']","[0.4214041531085968, 0.38482484221458435, 0.3834224045276642]",0.05
I can tolerate the unknown.,gemini-3.0-pro,"['Intellectual', 'Social', 'Spiritual', 'Emotional']","[0.199687197804451, 0.17680785059928894, 0.17330457270145416, 0.1710568219423294]",0.05
I can handle whatever comes my way.,gemini-3.0-pro,"['Emotional', 'Environmental', 'Spiritual', 'Occupational']","[0.23748542368412018, 0.20902305841445923, 0.19576653838157654, 0.19349823892116547]",0.05
Stress causes me to be vulnerable in my life.,gemini-3.0-pro,['Emotional'],[0.5717138051986694],0.05
My positive outlook is largely attributed to exercise.,gemini-3.0-pro,['Occupational'],[0.4235365688800812],0.05
I like to feel that everyone wants to be around me. Having to cope with stress can make me stronger.,gemini-3.0-pro,['Emotional'],[0.4705716669559479],0.05
Stress is in my life. Having to cope with stress can make me stronger.,gemini-3.0-pro,['Emotional'],[0.5535511374473572],0.05
"I think I am worth pursuing, though I sometimes feel discouraged.",gemini-3.0-pro,"['Emotional', 'Intellectual', 'Occupational']","[0.2661178708076477, 0.24879471957683563, 0.22814220190048218]",0.05
I am aware that I sometimes feel like I am not important in my life.,gemini-3.0-pro,['Emotional'],[0.3640705645084381],0.05
I find it challenging to work for something that I love.,gemini-3.0-pro,['Occupational'],[0.44347649812698364],0.05
I have no idea how long it will take me to get to sleep every night.,gemini-3.0-pro,['Physical'],[0.11661887913942337],0.05
I am usually tired when I get up in the morning and I usually remember to wear a pair of comfy jeans.,gemini-3.0-pro,"['Occupational', 'Physical']","[0.1950928419828415, 0.15095750987529755]",0.05
I am more calm and calmer than I used to be when it comes to getting a good night's sleep.,gemini-3.0-pro,['Emotional'],[0.3208328187465668],0.05
Having to deal with stress can make me strong.,gemini-3.0-pro,['Emotional'],[0.5467845797538757],0.05
I don't like having my family take care of me.,gemini-3.0-pro,"['Social', 'Emotional', 'Physical']","[0.21906839311122894, 0.1976117640733719, 0.17349174618721008]",0.05
I judge myself to be a happy person.,gemini-3.0-pro,['Occupational'],[0.35229313373565674],0.05
I feel unsure about my future.,gemini-3.0-pro,"['Emotional', 'Financial']","[0.28379085659980774, 0.24345266819000244]",0.05
I have no friends and no family for support.,gemini-3.0-pro,['Social'],[0.2993713319301605],0.05
"When I had a problem with my mood, I tried and failed.",gemini-3.0-pro,['Emotional'],[0.4102392792701721],0.05
I feel isolated from others.,gemini-3.0-pro,"['Social', 'Emotional']","[0.3430100679397583, 0.33319222927093506]",0.05
I am socially awkward.,gemini-3.0-pro,['Social'],[0.35353681445121765],0.05
I am trying to do something positive in my life.,gemini-3.0-pro,"['Social', 'Occupational', 'Emotional']","[0.36849722266197205, 0.35357075929641724, 0.3350885510444641]",0.05
I feel good about myself.,gemini-3.0-pro,"['Social', 'Physical', 'Occupational', 'Spiritual']","[0.30336499214172363, 0.2850344479084015, 0.26705631613731384, 0.2655973434448242]",0.05
There are times when I feel like the one in the crowd or at a movie theater.,gemini-3.0-pro,"['Emotional', 'Social']","[0.24283187091350555, 0.20940043032169342]",0.05
It has been difficult to make friends with many people.,gemini-3.0-pro,['Social'],[0.4068814516067505],0.05
I have experienced many life changes and changes in my life.,gemini-3.0-pro,"['Emotional', 'Spiritual']","[0.42456403374671936, 0.3888601064682007]",0.05
My body is strong.,gemini-3.0-pro,['Physical'],[0.28658753633499146],0.05
I feel happy about my work.,gemini-3.0-pro,['Occupational'],[0.4672675132751465],0.05
I feel happy.,gemini-3.0-pro,"['Emotional', 'Occupational']","[0.2658814489841461, 0.24285194277763367]",0.05
I feel unable to make friends because I am always alone,gemini-3.0-pro,['Social'],[0.3162699341773987],0.05
I am experiencing some life-altering problems.,gemini-3.0-pro,['Emotional'],[0.401058167219162],0.05
"I am content doing so many things alone - Life is not very exciting for me, but it does not hold much hope.",gemini-3.0-pro,"['Occupational', 'Emotional']","[0.4015389382839203, 0.38883548974990845]",0.05
I am happy doing so many things alone,gemini-3.0-pro,['Occupational'],[0.34970930218696594],0.05
I am lonely doing so much alone,gemini-3.0-pro,['Occupational'],[0.27695032954216003],0.05
I am satisfied with the amount of information I have been able to process so far.,gemini-3.0-pro,['Occupational'],[0.2630871832370758],0.05
I am often sad.,gemini-3.0-pro,['Emotional'],[0.3875432014465332],0.05
I always think of the future.,gemini-3.0-pro,"['Financial', 'Spiritual', 'Emotional']","[0.1896655112504959, 0.1446296125650406, 0.14221657812595367]",0.05
I live life one day at a time and think about the future a lot.,gemini-3.0-pro,"['Emotional', 'Spiritual']","[0.26905369758605957, 0.23909883201122284]",0.05
I am confident in who I am.,gemini-3.0-pro,"['Spiritual', 'Social']","[0.2603361904621124, 0.22586140036582947]",0.05
I get so many people to know me that the others often don't even know me well.,gemini-3.0-pro,['Social'],[0.2994794547557831],0.05
I am confident that I am a good person.,gemini-3.0-pro,"['Social', 'Spiritual', 'Occupational']","[0.29619768261909485, 0.27507349848747253, 0.2496449202299118]",0.05
I would rank the past month's sleep quality overall as good overall.,gemini-3.0-pro,['Physical'],[0.21297577023506165],0.05
"In general, I think most things happen for a reason.",gemini-3.0-pro,"['Emotional', 'Spiritual']","[0.22592638432979584, 0.22355012595653534]",0.05
I think that most things happen for a reason.,gemini-3.0-pro,"['Spiritual', 'Emotional']","[0.21009968221187592, 0.1850961446762085]",0.05
I am stressed and feel out of balance.,gemini-3.0-pro,['Emotional'],[0.4394511878490448],0.05
I expect to be physically healthy in the future.,gemini-3.0-pro,['Physical'],[0.526066243648529],0.05
I have an anxiety attack that affects my life.,gemini-3.0-pro,['Emotional'],[0.3963501453399658],0.05
I am confident that I am in control of my life.,gemini-3.0-pro,"['Emotional', 'Spiritual']","[0.2574479877948761, 0.2396552562713623]",0.05
I have a strong sense of purpose in my life.,gemini-3.0-pro,['Spiritual'],[0.4488025903701782],0.05
I am able to communicate and express myself.,gemini-3.0-pro,"['Intellectual', 'Spiritual', 'Occupational', 'Emotional']","[0.3255162537097931, 0.31659525632858276, 0.30052241683006287, 0.285977303981781]",0.05
I am satisfied with my life.,gemini-3.0-pro,['Occupational'],[0.48709434270858765],0.05
I am resilient in the face of difficult situations.,gemini-3.0-pro,['Emotional'],[0.47910627722740173],0.05
I appreciate positive and positive people in my life.,gemini-3.0-pro,['Social'],[0.3844139575958252],0.05
"I am confident that I can handle unpleasant or painful feelings like sadness, fear, and anger.",gemini-3.0-pro,['Emotional'],[0.5664722919464111],0.05
I am very grateful for what I have and am satisfied with most parts of my life.,gemini-3.0-pro,['Occupational'],[0.4506990611553192],0.05
I will always strive to do better in what I do.,gemini-3.0-pro,['Occupational'],[0.3848673403263092],0.05
I am always optimistic about the things that keep me from feeling depressed.,gemini-3.0-pro,['Emotional'],[0.43765076994895935],0.05
I am never too old to laugh.,gemini-3.0-pro,"['Intellectual', 'Social']","[0.12067367881536484, 0.09038989245891571]",0.05
Often I get in trouble for making my own decisions.,gemini-3.0-pro,"['Emotional', 'Spiritual']","[0.2191796749830246, 0.18127837777137756]",0.05
I am feeling lonely and overwhelmed.,gemini-3.0-pro,['Emotional'],[0.37702175974845886],0.05
"In the past, I rarely did anything to expect to go my way.",gemini-3.0-pro,"['Spiritual', 'Social', 'Occupational', 'Emotional']","[0.18667709827423096, 0.17089246213436127, 0.16418588161468506, 0.14480863511562347]",0.05
I am able to deal with any challenges I encounter.,gemini-3.0-pro,['Emotional'],[0.3871838450431824],0.05
"I am a leader, I feel so confident, but I can't handle being so alone.",gemini-3.0-pro,"['Social', 'Emotional']","[0.26580265164375305, 0.2511001229286194]",0.05
I tend to overcome major life challenges with greater stability and peace.,gemini-3.0-pro,['Emotional'],[0.48213881254196167],0.05
I am very resilient.,gemini-3.0-pro,['Emotional'],[0.3223070204257965],0.05
I am resilient and will be able to handle any challenge or stress in life.,gemini-3.0-pro,['Emotional'],[0.49896469712257385],0.05
"I struggle to adjust to new situations, new people, and new environments.",gemini-3.0-pro,['Emotional'],[0.5271254777908325],0.05
I have always fought for what I believe in.,gemini-3.0-pro,['Spiritual'],[0.38267403841018677],0.05
I am in control of my life.,gemini-3.0-pro,"['Emotional', 'Spiritual']","[0.27258506417274475, 0.22338390350341797]",0.05
I find it hard to interact with those around me.,gemini-3.0-pro,"['Social', 'Emotional', 'Intellectual']","[0.2467995434999466, 0.22982043027877808, 0.20583507418632507]",0.05
Sometimes I am unable to reach out and communicate with those around me,gemini-3.0-pro,"['Social', 'Emotional', 'Spiritual']","[0.19755010306835175, 0.19667799770832062, 0.15363481640815735]",0.05
I don't feel like myself.,gemini-3.0-pro,['Emotional'],[0.23472298681735992],0.05
Sometimes I feel alone in my life.,gemini-3.0-pro,['Emotional'],[0.34590592980384827],0.05
I feel happy that I can make it in the world.,gemini-3.0-pro,"['Occupational', 'Intellectual']","[0.31794679164886475, 0.27970120310783386]",0.05
I feel a sense of responsibility about my future.,gemini-3.0-pro,"['Financial', 'Emotional']","[0.3248157501220703, 0.3008877635002136]",0.05
"When I try to achieve my goals, I may not accomplish what I would like to do.",gemini-3.0-pro,"['Occupational', 'Financial', 'Intellectual', 'Spiritual']","[0.2840459644794464, 0.2620968520641327, 0.25831514596939087, 0.24074611067771912]",0.05
I believe my choices will be beneficial.,gemini-3.0-pro,"['Environmental', 'Spiritual', 'Intellectual', 'Occupational', 'Physical', 'Social']","[0.2040410190820694, 0.1995430290699005, 0.17924106121063232, 0.17495150864124298, 0.1646484136581421, 0.15860898792743683]",0.05
I'm hopeful that I'll accomplish my dreams.,gemini-3.0-pro,"['Intellectual', 'Occupational', 'Spiritual']","[0.23412489891052246, 0.20184621214866638, 0.19190344214439392]",0.05
I enjoy taking the time to think about the future.,gemini-3.0-pro,['Intellectual'],[0.2533722221851349],0.05
I am optimistic in my future self.,gemini-3.0-pro,"['Spiritual', 'Occupational', 'Financial', 'Emotional']","[0.26964855194091797, 0.24875235557556152, 0.23097319900989532, 0.2294234335422516]",0.05
I focus on the present and can live life to the fullest without concern for the future.,gemini-3.0-pro,"['Emotional', 'Financial']","[0.3651813268661499, 0.31923767924308777]",0.05
I have a single devoted boyfriend,gemini-3.0-pro,['Social'],[0.23013918101787567],0.05
I am very content in my current relationship.,gemini-3.0-pro,['Social'],[0.3533092737197876],0.05
I am happy being so withdrawn.,gemini-3.0-pro,"['Emotional', 'Occupational']","[0.2691448926925659, 0.22059109807014465]",0.05
I am not afraid of being disappointed.,gemini-3.0-pro,['Emotional'],[0.08433163911104202],0.05
I am often influenced by others.,gemini-3.0-pro,"['Spiritual', 'Social', 'Occupational', 'Intellectual']","[0.2752365469932556, 0.27345848083496094, 0.2445724606513977, 0.23464858531951904]",0.05
I am not often discouraged by failure.,gemini-3.0-pro,['Emotional'],[0.3456096053123474],0.05
"I believe I need support from my family members and friends, but it is difficult for me to make friends.",gemini-3.0-pro,['Social'],[0.39836955070495605],0.05
"I have had trouble staying awake while driving, eating meals, or engaging in social activity.",gemini-3.0-pro,"['Occupational', 'Physical', 'Emotional']","[0.24540258944034576, 0.2294122725725174, 0.21247807145118713]",0.05
"I am lonely. I cannot connect with my loved ones, and my life is often void of positive mental stimulation.",gemini-3.0-pro,"['Social', 'Occupational', 'Emotional', 'Spiritual']","[0.2929012179374695, 0.2818426489830017, 0.2660071849822998, 0.2450290322303772]",0.05
I know it can be difficult to cope with failures.,gemini-3.0-pro,['Emotional'],[0.4319939613342285],0.05
I am a strong and resilient person.,gemini-3.0-pro,['Emotional'],[0.3275947570800781],0.05
I can't communicate in an effective way,gemini-3.0-pro,"['Emotional', 'Social', 'Intellectual']","[0.20668430626392365, 0.1993831843137741, 0.16638140380382538]",0.05
I feel lonely and feel like I am always left alone in my daily life.,gemini-3.0-pro,"['Emotional', 'Occupational']","[0.29697608947753906, 0.2785181403160095]",0.05
I have no friends or family close by.,gemini-3.0-pro,['Social'],[0.3045825958251953],0.05
I am a successful person.,gemini-3.0-pro,['Occupational'],[0.4052121341228485],0.05
I'm still finding my purpose and purpose in life.,gemini-3.0-pro,['Spiritual'],[0.3947913646697998],0.05
I enjoy being a part of my community and socializing.,gemini-3.0-pro,['Social'],[0.5159797668457031],0.05
I sometimes think I have done enough.,gemini-3.0-pro,"['Occupational', 'Social', 'Emotional', 'Intellectual']","[0.21219402551651, 0.19740864634513855, 0.18244849145412445, 0.16904491186141968]",0.05
I sometimes think I have done all there is to do in life and I sometimes feel as if I've done all I can in life.,gemini-3.0-pro,"['Occupational', 'Spiritual']","[0.3517134189605713, 0.32489025592803955]",0.05
I sometimes feel like I am a failed person.,gemini-3.0-pro,['Emotional'],[0.3266877233982086],0.05
I sometimes feel as if I have already done all there is to do in life.,gemini-3.0-pro,"['Emotional', 'Occupational', 'Intellectual']","[0.3339768648147583, 0.33202996850013733, 0.3073141276836395]",0.05
I can handle my responsibilities.,gemini-3.0-pro,"['Occupational', 'Intellectual', 'Financial']","[0.32812419533729553, 0.30680766701698303, 0.28614044189453125]",0.05
I feel able to cope with change.,gemini-3.0-pro,['Emotional'],[0.45999181270599365],0.05
I am able to handle my responsibilities.,gemini-3.0-pro,"['Occupational', 'Intellectual', 'Financial']","[0.3375778794288635, 0.3128066956996918, 0.3008580505847931]",0.05
I have a feeling of direction in my life.,gemini-3.0-pro,"['Emotional', 'Spiritual', 'Environmental', 'Social', 'Intellectual', 'Occupational']","[0.2528066337108612, 0.2502422332763672, 0.22948668897151947, 0.2215598076581955, 0.22076155245304108, 0.21071670949459076]",0.05
I feel as if nobody understands me,gemini-3.0-pro,['Emotional'],[0.27475571632385254],0.05
